name,log_L_CN,log_L_IR,L_CN_err_low,L_CN_err_high,L_IR_err_low,L_IR_err_high
Cloverleaf,9.121027062,12.94939001,0.146128036,0.22184875,0.085639276,0.106780767
SDP17b,9.487868493,13.20411998,0.154119526,0.241088108,0,0
SPT0125-47,9.69626826,13.51700981,0.14724336,0.224462365,0.065579715,0.077274542
G15v2.235,9.351028203,13.1931246,0.161906792,0.261060969,0.11437144,0.1556981
G09v1.124,9.639513675,13.68124124,0.224014811,0.488116639,0.309984838,0.047772782
PLCK_G231.3,8.925079421,12.97772361,0.155336038,0.244125144,0.022276395,0.023481096
NCv1.143,9.506725892,13.09307131,0.046256834,0.05177751,0.062957834,0.073657553
